N,P,K,temperature,humidity,ph,rainfall,label
61,43,89,20.39196365086843,73.97987726295555,7.356018640442437,488.99863008405066,olive
65,50,78,16.857200907531645,74.76332709423279,7.2564115790271,630.4996930667062,olive
60,41,75,17.825453457757227,72.87134647448357,7.631945018642115,522.8072850495105,olive
64,51,90,17.396628042581824,66.35909651799231,7.818386009333087,545.6154978167907,olive
74,48,77,21.159642440417922,75.20461307881669,7.650499251969543,453.31624028996663,olive
68,41,83,16.095797513321287,68.46340738433223,7.441025466026011,620.8158797063645,olive
66,52,82,16.20633112669131,78.63980603118173,7.458779981600017,615.6305710884955,olive
56,53,80,17.247649977209132,73.51550491729986,7.2313132924555585,660.5711936487496,olive
66,41,84,21.368964102565894,73.96849968216628,8.121874235023116,472.12312551297987,olive
62,44,90,20.483920660824285,73.0953819858362,7.786751165663848,691.3138268160345,olive
67,48,89,16.991601634378014,65.23454610111791,7.623401480706369,548.7203795438925,olive
62,47,85,17.193054424532832,75.67012929122976,7.990175540531205,601.4899936952529,olive
64,46,83,21.489758053262683,77.75057866684699,7.649450674138203,473.85252912260285,olive
59,42,86,19.82534482813128,78.3081911386449,7.672214925161949,479.89856148457545,olive
68,42,75,20.33037712698924,68.53977379623434,7.456068322761324,460.1083973846078,olive
69,54,84,18.63601901119462,68.02578803503094,8.09576359567352,568.8425557955279,olive
58,53,79,17.49575337489325,71.15574384553445,7.955551138543048,507.1995413729056,olive
61,50,93,16.967327723524026,78.9454647851386,8.008120379564417,608.3509391276059,olive
60,51,86,17.119420353316215,78.38838497734966,7.739342241915651,651.8600387910157,olive
61,53,75,17.632793496307812,74.71535180812043,7.200520376995316,538.1422140835423,olive
57,46,80,19.064483815465394,71.26116504723169,7.42210781047073,479.9663418334207,olive
66,47,89,17.009746253037584,68.28146329359605,7.758102002017341,550.9590427645102,olive
71,49,94,17.481256377031606,75.44456409259682,7.912270589924441,487.02173248835,olive
71,50,91,21.859689734995918,71.16555519977346,7.233050732900549,536.2678120066707,olive
55,42,76,19.18560749990282,71.71674746859638,7.7528930890713275,598.1741809698484,olive
65,47,91,20.36929809167116,70.5167469907888,7.8323058305935795,608.3824276902237,olive
65,54,90,20.790070749907308,67.26076315948144,7.708198776740718,623.9532016977205,olive
57,43,78,16.099526973567137,72.68139587448921,7.426495775197938,611.2931976023624,olive
74,48,75,18.385432126525135,72.7662702579122,8.037710105907328,618.9225292598202,olive
72,46,84,17.547649766290935,74.8997606905127,8.017222200201216,588.8002028998656,olive
71,41,75,16.558616606835397,78.4582363692999,8.10041805716333,608.275364318317,olive
